HoV,CAOLH_SumFlow,CAORH_SumFlow,LAOLH_SumFlow,LAORH_SumFlow,MIXP,AMBP,AMBT,R600_HD,R610_HS1,R611_HS1,R612_HS1,R613_HS1,R620_HS1,R620_HS2,R620_HS3,R621_HS1,R621_HS2,R621_HS3
CGAN_ASD10,218.07668,221.39226,130.69687,132.70497,2527.0544,101730.875,297.09396,149.41714,127.90259,133.18018,115.92996,117.59849,79.01853,39.036304,113.014084,78.035385,39.00654,112.98938
CGAN_ASD11,252.4514,251.82423,149.8616,152.68268,3217.4453,102646.35,297.32257,149.30356,127.49694,132.57358,115.93855,117.23184,78.951645,39.060814,112.98321,78.03467,39.015297,113.00699
CGAN_ASD12,179.21701,183.24396,103.62554,106.29061,1553.5298,100522.77,296.61215,148.13156,144.58273,152.72797,127.22017,128.30125,74.22776,37.8691,113.09,74.668594,37.875805,112.926094
CGAN_ASD13,210.69452,211.19508,122.57929,125.05965,2352.758,103485.55,296.9477,148.10797,145.90547,155.07693,128.3111,129.18985,74.50311,37.92497,113.056274,74.8452,37.964138,112.98075
CGAN_ASD14,246.93402,246.59317,144.73743,148.32166,3212.0972,103550.46,298.89032,146.15881,146.61478,155.5337,129.18903,130.83604,74.8915,38.07133,113.02374,75.10585,38.034275,112.97701
CGAN_ASD15,179.83421,185.801,107.18482,106.099236,1694.7415,99754.62,295.36023,146.38048,146.28127,156.10251,127.582,130.39293,79.35624,39.06593,113.04699,78.255196,39.094654,112.98463
CGAN_ASD16,221.69904,222.34964,132.38713,131.60909,2621.0579,102146.06,296.2105,147.56989,142.94843,151.8007,125.76801,127.87236,79.21178,39.05722,113.01655,78.18959,39.091682,113.027664
CGAN_ASD17,252.84914,267.41815,145.80688,154.17267,3209.5527,100115.5,293.57635,145.67215,148.90675,155.16203,129.43521,128.33444,78.999306,39.141712,113.08575,78.08656,39.077095,112.84017
CGAN_ASD18,176.13322,175.0879,104.495834,105.26101,1576.666,101659.05,298.28604,149.12668,133.35976,139.88684,120.128586,122.526405,74.5031,37.925922,113.00204,74.79361,37.92019,113.013756
CGAN_ASD19,211.66331,209.73993,126.58852,126.406746,2376.479,103417.57,297.63083,149.01894,133.10504,139.41203,119.37882,121.99626,74.836044,37.973293,113.02071,74.9554,37.977375,113.00679
CGAN_ASD20,239.66129,244.82864,143.56476,146.69302,3081.781,100560.26,299.15213,147.5941,134.34872,141.40526,121.71276,123.47459,74.65286,37.998928,113.04727,74.831436,37.906338,112.93279
CGAN_ASD21,186.19102,191.74136,111.487274,113.63447,1771.1578,102249.03,299.99023,149.92578,130.52701,136.25792,119.021225,120.70584,79.12623,39.06941,112.997185,78.1298,39.0217,112.99985
CGAN_ASD22,216.14055,222.73955,129.1319,130.51486,2460.6328,100412.27,294.10522,147.48576,133.96204,140.60855,119.425545,121.061035,78.97454,39.015415,113.03354,77.93783,38.980988,112.96419
CGAN_ASD23,254.46138,254.5362,151.44116,153.82132,3306.3584,102137.96,298.46802,148.41635,131.91333,137.32777,119.27997,120.557205,79.015785,39.081158,112.986595,78.08771,39.046543,113.00257
CGAN_ASD24,180.93288,180.45529,109.03973,108.337746,1720.9314,100694.21,299.6983,148.64122,133.16145,139.40692,119.91263,123.18745,74.452545,37.916008,113.021736,74.58436,37.871807,112.99728
CGAN_ASD25,210.96175,208.96425,127.07142,126.9681,2442.3225,102087.164,299.6711,148.32037,132.78307,138.4518,120.0067,122.740746,74.7523,37.96605,113.021126,74.905624,37.957756,113.00492
CGAN_ASD26,240.17189,241.97272,141.18115,144.87543,2870.101,103241.555,294.74167,149.2351,130.81976,137.7279,117.60449,119.28177,74.88047,38.029533,113.02769,74.98131,37.956356,112.956985
CGAN_ASD27,183.37242,187.93945,109.14383,111.53812,1749.4425,102476.3,296.77942,149.732,129.6145,135.88268,116.76942,118.70835,78.99807,39.00313,113.02015,78.02488,38.98599,113.003494
CGAN_ASD28,219.15479,224.8198,132.36014,134.0526,2623.3164,100743.02,299.07095,148.46765,131.97824,137.0928,119.26957,120.89623,79.11803,39.06998,113.02137,78.1057,39.044193,112.97093
CGAN_ASD29,248.62013,253.45221,148.4437,150.73044,3143.264,100924.38,294.9343,148.04694,132.57262,138.37067,119.20569,120.35725,78.89934,39.034035,113.00339,77.878845,38.973648,112.96781
CGAN_ASD30,171.95894,174.63818,100.88618,103.492584,1469.2968,101560.19,295.82178,149.77028,130.72397,137.16208,117.590935,119.44913,74.41803,37.873127,113.04653,74.723694,37.879677,112.95872
CGAN_ASD31,206.6585,209.10065,122.17735,124.806595,2160.796,101909.41,294.62985,148.79886,131.20776,137.75247,117.34348,119.443954,74.85365,38.001923,113.05814,74.98639,37.94699,112.93539
CGAN_ASD32,239.54715,242.06712,140.12595,145.1873,2913.2024,102501.58,295.63782,148.46902,131.52574,137.92921,118.465385,119.645615,74.87133,38.047443,113.03426,74.999405,37.966908,112.93482
CGAN_ASD33,181.51303,186.03694,108.559105,109.61292,1768.6093,100947.37,295.1015,147.91849,132.08514,138.85936,117.814835,120.01323,79.04041,38.997894,113.04651,78.026726,38.99475,112.9846
CGAN_ASD34,218.831,219.81279,129.92827,131.03625,2518.763,101164.375,294.96887,147.35818,131.86972,138.73685,118.08847,120.16201,79.03771,39.026356,113.01145,78.0334,39.00564,113.00234
CGAN_ASD35,252.67836,250.07741,148.84048,151.3659,3199.4563,102404.86,295.1927,147.9731,130.71475,137.00502,117.71103,119.15234,78.91268,39.03927,112.98008,77.97693,38.998512,113.016556
CGAN_ASD36,176.67339,179.36578,105.6735,106.296715,1590.0997,103341.84,297.084,150.6781,134.58911,142.228,120.63567,123.1561,74.734055,37.96611,112.98247,74.93098,37.9783,113.03052
CGAN_ASD37,204.67467,211.95096,121.79286,124.60188,2260.0076,100246.07,296.77063,147.65332,137.02052,144.3982,122.33066,123.66832,74.590416,37.94989,113.08895,74.82459,37.904083,112.8948
CGAN_ASD38,243.00188,244.55295,142.74034,145.93486,2969.429,103758.3,295.648,148.95839,134.92836,142.3974,120.51236,122.14026,74.86643,38.025593,113.027016,74.98782,37.975227,112.96414
CGAN_ASD39,182.98975,190.09848,109.120384,109.83133,1750.8511,100093.484,293.62,147.64525,137.04803,144.43188,120.7303,122.85823,78.99976,38.984486,113.06644,77.98674,38.99209,112.95629
CGAN_ASD40,217.40906,219.50877,129.77414,129.89095,2481.328,101419.15,294.26758,147.74496,135.04434,142.71733,120.101204,122.148636,79.02786,39.015068,113.01678,78.008354,39.00554,113.00812
CGAN_ASD41,249.71487,253.58578,150.80121,150.84174,3214.1384,100643.48,296.6182,148.0106,136.48123,143.07921,122.33601,123.97773,79.028824,39.05353,112.999855,77.97398,39.0171,112.98247
CGAN_ASD42,172.14381,178.44151,104.61096,108.21144,1524.73,102286.61,300.17975,149.40892,127.73548,129.21059,116.92003,118.22895,75.94695,38.328648,112.98067,75.73704,38.242367,112.93115
CGAN_ASD43,209.82115,208.81648,125.96097,127.298386,2371.8271,102090.05,298.47815,149.17451,126.2483,130.57466,115.40939,118.09793,74.747574,37.94375,113.0095,74.85093,37.923912,112.995285
CGAN_ASD44,231.65268,237.4972,135.68573,143.99323,2819.309,100534.31,294.9782,148.7887,126.480865,133.4302,115.468025,116.98549,74.888756,38.040287,113.06269,74.963165,37.8854,112.87645
CGAN_ASD45,186.47827,190.60777,111.690956,113.75726,1776.5591,102371.6,298.83072,150.43324,124.6653,129.58815,114.58284,116.2975,79.211174,39.07153,112.999756,78.179855,39.033566,113.01616
CGAN_ASD46,221.73514,224.48146,131.7113,135.83867,2629.4656,101870.26,298.24603,149.06952,125.134026,129.24796,114.392715,115.67574,78.98915,39.047333,113.00611,78.039536,39.005985,112.98517
CGAN_ASD47,251.68953,249.53528,147.84409,150.73535,3128.0935,102869.11,293.83423,148.08412,126.59147,132.60417,114.36453,115.90844,78.84414,39.02263,112.970764,77.91244,38.96156,113.02816
CGAN_ASD48,180.1189,179.27708,105.51406,106.009575,1608.807,103218.69,297.42825,149.77228,140.75192,149.57904,125.004715,126.889656,74.337395,37.86313,113.00605,74.67532,37.904232,113.024185
CGAN_ASD49,209.29544,209.32616,123.285164,125.28739,2381.6,102125.445,299.04044,147.38219,143.20175,151.29166,127.11452,128.73486,74.59675,37.962498,113.03985,74.89236,37.965397,112.980965
CGAN_ASD50,236.17686,246.24036,138.36105,145.48781,2969.7192,100359.11,296.13354,146.24403,143.51877,153.52208,127.01011,127.989365,74.80291,38.054287,113.08995,75.00813,37.92936,112.85137
CGAN_ASD51,183.39185,190.97298,110.8544,111.30675,1775.7562,100895.35,299.37823,148.51184,141.11931,148.88393,125.57237,127.91846,79.01775,39.036366,113.00992,78.01615,39.005936,112.98282
CGAN_ASD52,220.36923,222.82367,132.49368,131.93634,2616.7744,101315.59,297.1891,147.69438,140.7031,148.49934,124.61789,126.59886,79.16327,39.058544,113.02236,78.1492,39.075195,113.00477
CGAN_ASD53,253.44492,252.78397,150.6269,150.92451,3232.3638,102739.45,295.21277,148.20584,139.79343,147.97313,123.84296,125.45233,79.02175,39.04602,112.99141,78.030075,39.0409,113.023155
CGAN_ASD54,171.13637,176.21242,101.080154,103.39101,1416.008,100117.56,295.83807,149.8404,135.5998,142.44095,120.56749,122.73406,74.61386,37.913044,113.10513,74.85648,37.899105,112.89927
CGAN_ASD55,205.11029,211.96667,122.27601,124.7107,2266.5972,100412.586,297.1853,147.82521,137.5108,144.52219,122.46209,123.95058,74.63581,37.96584,113.08919,74.86913,37.92586,112.89441
CGAN_ASD56,244.16968,243.49728,145.63985,147.75905,3178.7563,102357.46,300.49615,148.20235,136.78781,143.20622,123.143776,125.36754,74.817924,38.03442,113.02413,74.99172,37.991222,112.98676
CGAN_ASD57,182.03539,188.86993,109.64189,111.063225,1748.177,101692.3,297.87567,149.58667,134.77034,141.44078,120.57781,122.65135,79.037964,39.02158,113.02755,78.036606,39.002785,112.98149
CGAN_ASD58,221.23227,225.74062,133.16217,135.01633,2657.428,102092.32,299.03293,149.29884,134.65991,140.21039,120.702896,122.05881,79.089096,39.075066,113.025154,78.138725,39.065857,112.98083
CGAN_ASD59,251.41287,249.82414,149.24492,150.19649,3186.5308,102381.164,295.5842,148.2774,134.8825,142.03256,120.46344,122.17579,79.083435,39.06791,112.98827,78.10227,39.050686,113.01958
CGAN_ASD60,173.74876,171.79247,105.14121,103.534256,1463.722,100747.32,294.59814,150.77971,117.20422,122.34761,109.121635,110.802086,74.705025,37.94303,113.041664,74.95018,37.92837,112.99963
CGAN_ASD61,213.05998,214.63931,130.41129,130.68387,2410.0386,101814.9,300.1552,152.84666,116.68999,117.006584,109.26259,110.95769,74.604866,37.95984,113.064865,74.622406,37.90218,112.97204
CGAN_ASD62,240.56393,239.95885,144.9267,146.30682,2964.4426,101619.44,298.42532,151.11201,116.07561,119.16307,109.06742,111.27289,74.828674,37.999893,113.01982,74.88008,37.923813,112.99284
CGAN_ASD63,181.49101,186.77144,107.380226,111.43144,1684.1241,100750.8,294.50854,148.9243,120.40633,124.31521,109.552155,111.45885,78.796135,38.97164,113.03205,77.8639,38.911507,112.96972
CGAN_ASD64,220.18407,225.0331,131.50609,135.88734,2577.1865,100942.35,297.6316,149.09933,117.650856,120.343056,109.33643,110.71123,78.720955,38.979496,113.00208,77.77887,38.903347,112.96436
CGAN_ASD65,251.94025,251.99979,149.94681,152.8768,3141.819,102494.7,296.66898,149.9036,118.588295,122.231346,109.56198,111.10882,78.86394,39.045017,112.96895,77.95451,38.96365,113.014786
CGAN_ASD66,172.34949,174.46147,100.96083,103.018814,1445.1212,101143.016,296.01355,149.42761,133.70341,140.37627,119.78977,121.241806,74.344154,37.858414,113.060486,74.65518,37.866093,112.94939
CGAN_ASD67,203.0123,210.36595,120.02926,124.25867,2218.9153,100275.14,295.86868,147.87773,135.31497,142.93799,121.05997,122.44129,74.65444,37.957184,113.090775,74.85227,37.892838,112.882286
CGAN_ASD68,240.95601,243.82964,142.82938,146.40395,3048.753,101746.19,298.09998,147.80315,134.93141,141.92688,121.60058,123.23262,74.76919,38.024723,113.035736,74.93269,37.948833,112.94865
CGAN_ASD69,183.5879,191.58684,110.803,112.678505,1787.9362,100988.37,299.46375,149.24724,133.63391,139.64903,120.613594,122.64614,78.955635,39.016453,113.01727,77.96257,38.97372,112.971115
CGAN_ASD70,218.65588,219.49922,130.15344,130.68935,2516.0735,101457.99,295.30426,147.75874,133.49654,140.7304,119.306755,121.38495,79.06554,39.02824,113.01151,78.06122,39.02054,113.0121
CGAN_ASD71,254.76773,254.90761,151.89989,153.77257,3317.8008,102008.84,298.4827,148.27934,133.47209,139.18898,120.36683,121.695335,79.00856,39.078304,112.9887,78.078995,39.0476,113.00193
CGAN_ASD72,175.84332,176.01968,105.18323,105.36418,1559.531,101014.02,297.91257,149.48175,130.48833,136.26509,117.805214,120.4882,74.51798,37.91949,113.02792,74.76594,37.90191,112.98771
CGAN_ASD73,208.4002,212.16403,124.54476,125.976906,2265.671,101415.79,296.3567,149.24359,130.14511,136.0284,117.37636,119.35828,74.75659,37.967327,113.05547,74.88729,37.929974,112.938095
CGAN_ASD74,238.81447,246.9053,142.8587,146.40947,2966.4836,100526.59,296.80823,148.86401,130.73688,137.58565,118.63628,120.07698,74.745636,38.01122,113.06038,74.872826,37.907234,112.90437
CGAN_ASD75,182.9997,189.31915,110.46878,112.213005,1794.6644,101546.53,297.22058,149.94292,129.07925,134.70401,116.430695,118.38748,79.00425,39.00746,113.0344,78.011345,38.988724,112.98154
CGAN_ASD76,217.99963,227.97829,129.80904,132.51082,2457.7092,100251.625,293.05652,147.9187,132.10793,137.91252,117.78653,118.94682,78.85237,39.00436,113.04831,77.84969,38.946774,112.930435
CGAN_ASD77,256.10223,254.88632,151.97035,154.56523,3288.9492,102778.65,297.32245,149.28076,128.28589,133.57169,116.5285,117.8489,78.96231,39.06177,112.97833,78.04598,39.021416,113.01503
CGAN_ASD78,175.36993,183.29308,108.92948,109.514694,1580.7393,102027.03,300.06668,150.21538,129.85945,131.79147,118.18325,119.82301,75.44187,38.20386,112.97813,75.33562,38.130833,112.946495
CGAN_ASD79,207.24522,211.89584,124.83745,124.634384,2174.9626,102010.03,295.25183,150.65173,128.10608,134.05217,115.52927,117.8022,74.82802,37.957737,113.054855,74.90222,37.93498,112.94684
CGAN_ASD80,241.28658,245.25383,145.83984,146.35948,2999.2656,101962.78,297.77258,150.46593,128.40526,134.52525,117.02861,119.35108,74.846016,38.002094,113.03196,74.91264,37.94179,112.970184
CGAN_ASD81,182.38809,192.43845,111.46429,112.917885,1753.519,100982.92,299.13693,150.58257,128.45998,133.42285,117.06024,119.0862,78.95977,39.000492,113.031044,77.938484,38.952637,112.95773
CGAN_ASD82,219.73274,224.91783,132.97047,134.57018,2578.7896,101799.34,298.3291,150.28046,127.78635,132.54697,116.140976,117.69634,78.9982,39.04195,113.01764,78.03104,39.008762,112.98073
CGAN_ASD83,249.50215,258.34534,149.94629,151.78896,3112.7632,100747.664,293.96506,149.02151,130.56305,135.98604,117.47478,118.489,78.80121,39.015965,113.01953,77.79625,38.938824,112.94237
CGAN_ASD84,181.03368,181.73152,105.60803,106.496826,1619.6544,102743.19,297.40976,149.47594,144.33318,153.80963,127.49981,129.00275,74.22802,37.847103,113.022354,74.62675,37.887978,113.00405
CGAN_ASD85,211.35815,214.9398,124.14057,125.98717,2366.15,102600.79,296.83377,148.14636,145.96976,155.21779,128.35158,129.34404,74.58369,37.94078,113.07104,74.888565,37.96831,112.95672
CGAN_ASD86,245.62585,252.41443,146.2982,149.6524,3260.0593,100612.89,300.13882,145.69368,147.59306,156.9921,130.76852,132.21791,74.689865,38.036964,113.06363,74.95438,37.961758,112.91873
CGAN_ASD87,189.28595,196.5082,112.862,112.31475,1901.5676,100713.2,294.01758,147.48969,143.69955,152.77417,125.31534,127.51347,79.19862,39.013615,113.068886,78.15047,39.066307,112.976364
CGAN_ASD88,225.34654,228.75356,136.01955,135.7102,2738.8503,102864.71,298.8499,149.05148,142.39687,150.01962,125.87729,127.49173,79.14953,39.074272,113.02099,78.19475,39.101532,113.012436
CGAN_ASD89,256.74725,261.2362,151.27834,153.0109,3251.5264,102697.29,293.91882,148.30855,143.79433,152.27696,126.07115,127.07126,79.12097,39.079113,113.02058,78.11401,39.076756,112.98447
CGAN_ASD90,174.19043,176.77972,103.42088,104.29298,1505.3782,100368.68,297.21875,149.16687,133.44485,139.73137,119.7232,121.72904,74.40716,37.89191,113.05942,74.665054,37.873615,112.94862
CGAN_ASD91,214.06987,214.09926,129.91862,128.63724,2516.8708,101531.61,300.8591,148.59232,134.39445,140.49039,121.258125,124.40171,74.79422,37.98117,113.033844,74.925186,37.970963,113.001205
CGAN_ASD92,247.55382,248.30467,148.65001,149.91136,3251.8413,101715.695,301.22394,148.57755,133.63728,139.82526,121.47035,123.94621,74.799576,38.020374,113.0253,74.96286,37.9724,112.993195
CGAN_ASD93,184.69211,189.86185,111.07625,112.120026,1808.9172,102223.34,296.0279,149.86499,130.65787,137.27219,117.089226,119.15241,78.9903,38.990593,113.03414,78.00531,38.988266,113.000275
CGAN_ASD94,220.45259,221.64984,131.51837,132.29092,2534.927,102235.16,295.64447,148.96498,131.00424,137.75479,117.61276,119.561035,79.03127,39.025208,113.00756,78.05425,39.01385,113.018364
CGAN_ASD95,251.2787,255.33316,151.93318,151.69456,3205.6626,100898.51,295.8059,148.67973,133.2074,139.69942,119.99032,121.731674,78.99179,39.035137,112.993454,77.932655,38.99242,112.992775
CGAN_ASD96,173.1756,177.30315,104.39936,105.16926,1518.3464,102515.375,297.31628,150.35887,131.65251,137.93863,118.87554,121.49745,74.99362,38.037937,112.98027,75.10594,38.02357,113.02136
CGAN_ASD97,208.53336,212.89844,124.47536,125.44623,2228.0698,101921.15,295.41827,149.39287,131.56798,138.14362,118.018,120.00004,74.769104,37.960407,113.054924,74.88935,37.93096,112.94022
CGAN_ASD98,243.74419,245.02374,145.51506,147.23256,3055.5083,102613.23,297.82538,149.36829,131.44699,137.88467,119.09546,121.21693,74.86192,38.01897,113.017845,74.95766,37.964043,112.98418
CGAN_ASD99,179.6738,184.9884,107.82991,108.14071,1700.0298,100434.64,294.31726,147.86812,132.97165,140.10179,118.21448,120.669945,79.08658,39.00214,113.04784,78.049835,38.99779,112.98449
CGAN_ASD100,218.99724,224.41702,132.78822,133.28194,2583.06,100803.51,298.0561,148.92996,131.7093,137.39029,118.89637,120.80631,79.123726,39.055584,113.01873,78.089096,39.033833,112.98209
CGAN_ASD101,256.63388,256.78714,152.9034,155.62454,3333.5923,102956.945,298.88834,149.60986,129.55365,134.43996,117.6915,118.77804,78.970116,39.078606,112.982704,78.08208,39.04133,113.009605
CGAN_ASD102,175.08882,178.70935,104.53746,105.28448,1531.793,102454.42,295.89517,150.81819,129.97977,137.33142,116.99019,119.896515,74.571655,37.895992,113.013794,74.83533,37.909367,112.999825
CGAN_ASD103,213.21904,211.89853,127.89142,127.355156,2384.1157,103316.61,297.44846,149.75494,131.44897,137.3912,118.19563,120.90654,74.920975,37.989094,113.02271,75.004425,37.992325,113.00442
CGAN_ASD104,240.36961,245.2108,142.17986,145.72765,2876.8198,102271.516,294.73322,149.37721,131.05133,138.079,117.88748,119.45993,74.967926,38.056904,113.04249,75.048836,37.970833,112.933
CGAN_ASD105,184.10748,188.86111,110.39844,111.115685,1803.3833,101304.695,294.7624,148.45721,131.23341,138.0458,117.11627,119.30626,78.974464,38.98272,113.04429,77.9848,38.978516,112.98904
CGAN_ASD106,223.50859,228.47797,134.98218,136.95158,2696.1936,101741.43,299.389,149.67195,130.70166,135.45537,118.395615,119.75076,78.9937,39.053677,113.018295,78.04905,39.02668,112.9769
CGAN_ASD107,255.24704,256.25314,152.99547,154.18945,3310.791,101564.72,297.95093,148.6111,131.6613,137.26372,119.12673,120.68864,79.013,39.06975,112.9876,78.04563,39.029667,112.99617
CGAN_ASD108,174.08167,176.58444,103.07003,103.504265,1464.02,101416.4,296.572,149.91763,135.47325,142.65445,121.01322,122.89239,74.417595,37.878674,113.046326,74.717316,37.891365,112.96791
CGAN_ASD109,210.8028,213.90102,126.789055,126.62365,2360.1897,101923.19,297.58243,148.73802,136.23978,143.3183,121.66118,124.03518,74.81496,37.978004,113.050514,74.95549,37.965626,112.96149
CGAN_ASD110,242.89294,247.16264,143.8708,146.27591,2962.8335,102966.9,295.6614,149.20941,135.18251,142.87251,120.84808,122.494675,74.926414,38.037373,113.03577,75.024826,37.98161,112.95104
CGAN_ASD111,185.98892,191.87054,112.36156,112.920685,1824.2004,102691.414,296.1599,150.497,132.87595,140.11685,118.63896,120.78922,78.96679,38.984364,113.02721,77.9741,38.983772,113.002975
CGAN_ASD112,219.64285,221.7307,132.03639,131.09436,2523.7544,101544.766,295.25015,148.49925,134.61403,142.29819,120.03204,122.3053,79.10192,39.02738,113.0143,78.078476,39.028297,113.01695
CGAN_ASD113,255.016,253.34924,152.11917,151.69127,3221.885,103036.55,295.24127,149.1896,133.4659,141.22612,119.52755,121.561966,79.0509,39.040497,112.97838,78.05716,39.0292,113.04289
CGAN_ASD114,173.12057,175.8898,103.98289,104.42411,1452.7617,101132.016,294.7158,150.50732,124.81631,130.41588,113.257385,115.627884,74.64447,37.90577,113.05962,74.86622,37.901844,112.96369
CGAN_ASD115,212.24272,212.86046,127.97633,129.54718,2448.1633,102666.59,299.63492,150.14252,126.658195,129.30177,115.765274,117.78023,75.109184,38.067688,113.0184,75.11481,38.04947,112.98968
CGAN_ASD116,240.88467,243.04771,143.09839,146.47324,2965.6318,101975.18,296.74567,149.59885,125.87206,131.23541,115.226204,116.93564,74.83328,38.01953,113.02325,74.917206,37.936558,112.95873
CGAN_ASD117,186.72942,191.27235,110.98319,113.34368,1824.7701,101638.266,294.6445,148.85214,126.131546,131.82086,113.53954,115.54117,78.91331,38.979603,113.03167,77.958,38.95835,112.99506
CGAN_ASD118,219.02222,222.7801,131.02818,132.1043,2516.0015,100476.71,294.9435,147.53407,127.61088,133.64195,115.31726,117.491035,79.02842,39.021713,113.01063,77.99113,38.97813,112.98927
CGAN_ASD119,254.02731,252.8283,150.3891,152.88942,3227.1016,101846.266,296.08142,148.2055,126.11507,131.46887,114.87255,116.52048,78.97676,39.052723,112.97529,78.01613,38.998062,113.01096
CGAN_ASD120,176.38118,180.14142,102.79428,104.68821,1519.0132,100958.0,296.7626,148.85913,141.7478,149.87154,125.51564,126.5639,74.25285,37.86677,113.06481,74.65854,37.880016,112.94523
CGAN_ASD121,207.86491,213.5543,123.5985,125.15722,2225.3467,101334.7,295.12704,148.50404,141.66913,150.63017,124.84961,126.4822,74.78462,37.984146,113.095085,75.01711,37.969574,112.93111
CGAN_ASD122,247.9992,248.34647,147.34149,148.83342,3201.669,103416.43,298.92615,147.75015,142.34454,150.6869,126.44433,128.58104,74.97262,38.06414,113.017426,75.11443,38.03439,112.99515
CGAN_ASD123,180.49538,185.8734,109.80503,107.41426,1727.4536,100595.51,295.1587,148.06802,141.43475,150.6106,124.36722,127.20439,79.15164,39.00574,113.0405,78.07401,39.02856,113.00317
CGAN_ASD124,219.96307,225.29898,134.30602,132.22823,2631.3403,100404.16,297.93872,147.91353,141.92491,149.67204,125.76351,127.984085,79.20972,39.065056,113.02946,78.14815,39.07792,112.98859
CGAN_ASD125,256.2426,260.7223,151.65762,152.67192,3203.7476,102975.72,293.25223,149.13565,140.05916,148.25578,123.32748,124.47166,78.957664,39.032875,113.01732,77.97403,39.020782,112.98785
CGAN_ASD126,177.93019,183.13568,107.161514,106.5702,1577.5084,103053.164,295.97046,151.4961,133.58495,141.89508,119.25369,122.281456,74.60721,37.894505,113.01383,74.845566,37.926216,113.00151
CGAN_ASD127,212.43202,212.941,129.46027,127.7916,2459.3088,102582.055,300.19388,149.32782,137.35786,143.59456,122.9328,125.85158,74.9519,38.022247,113.02194,75.04799,38.02322,113.003334
CGAN_ASD128,238.97395,249.5141,142.97981,145.90416,2947.5645,100724.42,296.39386,148.65671,137.02942,145.06606,122.42553,123.68362,74.78196,38.025738,113.07935,74.94085,37.93909,112.88492
CGAN_ASD129,187.44566,193.74196,112.91309,113.2294,1878.7095,101703.17,294.22766,149.01382,133.96004,141.4431,118.73527,120.96867,78.98863,38.973732,113.04653,77.96819,38.983658,112.9856
CGAN_ASD130,221.54753,227.07307,134.41096,135.2324,2655.335,101952.49,299.04105,149.8257,134.74971,140.42276,120.81857,122.332794,79.09601,39.071,113.02636,78.12924,39.06199,112.98049
CGAN_ASD131,251.43462,257.65402,151.3095,151.7176,3183.7795,101077.125,295.19247,148.93452,136.62508,143.2877,121.77736,123.150024,79.04118,39.059063,113.01654,78.00152,39.025036,112.965744
CGAN_ASD132,175.04663,172.23714,104.95778,103.59518,1443.4082,100783.48,294.17828,151.02002,116.630775,121.65175,108.99956,110.2563,74.80212,37.945824,113.0383,74.99225,37.94936,112.985405
CGAN_ASD133,210.76674,209.1847,129.56369,126.31981,2262.3562,100980.484,296.87143,151.93445,116.13437,120.122086,108.7466,111.17016,74.59908,37.908802,113.04652,74.65467,37.858624,113.00216
CGAN_ASD134,244.14049,244.2355,147.70132,149.44202,3028.3562,102978.71,299.9252,153.75504,115.501335,116.07812,108.90468,110.50191,74.722824,37.999237,113.016975,74.821014,37.93724,112.99664
CGAN_ASD135,184.20377,193.11847,112.17959,115.06454,1826.513,100949.305,298.04572,150.71683,117.85789,120.51868,109.22693,110.83091,78.80342,38.965183,113.03625,77.829414,38.91244,112.95771
